sales.csv
txn_id,product_id,amount,date
1,P001,200,2025-09-01
2,P002,500,2025-09-01
3,P003,300,2025-09-01
4,P001,150,2025-09-02
5,P002,700,2025-09-02
6,P001,400,2025-09-03
7,P003,600,2025-09-03
8,P004,900,2025-09-03
9,P002,300,2025-09-04
10,P004,1000,2025-09-04


clickstream.csv
event_id,user_id,page_url,timestamp
1,U001,/home,2025-09-01 10:00:00
2,U001,/product/P001,2025-09-01 10:01:00
3,U001,/cart,2025-09-01 10:02:00
4,U002,/home,2025-09-01 11:00:00
5,U002,/product/P002,2025-09-01 11:02:00
6,U002,/checkout,2025-09-01 11:05:00
7,U003,/home,2025-09-01 12:00:00
8,U003,/product/P003,2025-09-01 12:03:00
9,U001,/checkout,2025-09-01 12:05:00
10,U003,/cart,2025-09-01 12:06:00

